<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
05/04/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4716.403,4716.354,4576.228,4605.487,5847612664599
05/05/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4605.487,4667.786,4605.487,4630.133,5389307579950
05/06/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4630.133,4647.525,4597.751,4608.79,5359441615565
05/08/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4608.79,4630.589,4586.739,4597.43,6603064593041
05/11/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4597.43,4659.862,4597.639,4639.105,5736987419501
05/12/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4639.105,4644.135,4552.387,4588.734,6939613402437
05/13/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4588.734,4586.622,4519.978,4554.359,5434289759015
05/14/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4554.359,4564.15,4494.154,4513.834,6680457382446
05/15/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4513.834,4540.421,4460.273,4507.607,7198112807577
05/18/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4507.607,4527.968,4487.179,4511.058,6496262528217
05/19/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4511.058,4609.042,4519.507,4548.656,8625472381430
05/20/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4548.656,4561.554,4521.47,4545.952,40409670037824
05/26/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4545.952,4634.653,4541.834,4626.799,8644172090849
05/27/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4626.799,4641.555,4597.372,4641.555,8237082021054
05/28/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4641.555,4741.603,4638.808,4716.185,12027388808230
05/29/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4716.185,4755.957,4704.788,4753.612,17494342816877
