<date>,<ticker>,<name>,<open>,<high>,<low>,<close>,<volume>
04/15/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4706.491,4747.725,4605.054,4625.905,7013638538124
04/16/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4625.905,4625.905,4463.811,4480.607,6535437355966
04/17/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4480.607,4637.242,4480.887,4634.821,7375839759151
04/20/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4634.821,4669.542,4573.774,4575.905,5407449124851
04/21/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4575.905,4575.905,4482.639,4501.919,6471840796447
04/22/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4501.919,4580.68,4441.09,4567.562,7905993995121
04/23/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4567.562,4629.026,4571.786,4593.554,6634943212278
04/24/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4593.554,4593.83,4496.064,4496.064,6232017985923
04/27/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4496.064,4541.312,4474.893,4513.141,5345752516286
04/28/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4513.141,4532.379,4494.47,4529.554,6245336496540
04/29/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4529.554,4568.665,4523.955,4567.323,6050148223783
04/30/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4567.323,4726.774,4567.4,4716.403,10305476050943
05/04/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4716.403,4716.354,4576.228,4605.487,5847612664599
05/05/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4605.487,4667.786,4605.487,4630.133,5389307579950
05/06/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4630.133,4647.525,4597.751,4608.79,5359441615565
05/08/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4608.79,4630.589,4586.739000000001,4597.43,6603064593041
05/11/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4597.43,4659.862,4597.639,4639.105,5736987419501
05/12/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4639.105,4644.135,4552.387,4588.734,6939613402437
05/13/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4588.734,4586.622,4519.978,4554.359,5434289759015
05/14/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4554.359,4564.15,4494.154,4513.834,6680457382446
05/15/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4513.834,4540.4209999999985,4460.273,4507.607,7198112807577
05/18/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4507.607,4527.968,4487.179,4511.058,6496262528217
05/19/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4511.058,4609.042,4519.507000000001,4548.656,8625472381430
05/20/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4548.656,4561.554,4521.47,4545.952,40409670037824
05/26/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4545.952,4634.653,4541.834,4626.799,8644172090849
05/27/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4626.799,4641.555,4597.372,4641.555,8237082021054
05/28/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4641.555,4741.603,4638.808,4716.185,12027388808230
05/29/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4716.185,4755.957,4704.788,4753.612,17494342816877
06/02/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4753.612,4884.011,4753.7159999999985,4847.507000000001,11986363073481
06/03/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4847.507000000001,4960.071,4847.522,4941.0059999999985,12857287779331
06/04/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4941.0059999999985,5014.764,4899.39,4916.7040000000015,12292411348131
06/05/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4916.7040000000015,4948.512,4851.149,4947.782,9762090478129
06/08/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4947.782,5103.085999999998,4947.886,5070.561,13521470001083
06/09/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5070.561,5139.406,5023.767,5035.055,11649014794940
06/10/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),5035.055,5036.856,4892.818,4920.682,10971052094560
06/11/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4920.682,4931.242,4812.193,4854.754,9490321673900
06/12/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4854.754,4880.359,4712.073,4880.359,10208993497724
06/15/2020,COMPOSITE,idx : Jakarta Composite Index (IHSG),4880.359,4918.056,4809.6190000000015,4816.335999999998,7968976055314
